Policy ID,Insurance Provider,Policy Name,Minimum Age Required,Minimum Driving Experience (Years),Vehicle Age Limit (Years),Vehicle Use Type Covered,State Availability,Continuous Insurance Required,Max Past Claims Allowed,Violation-Free Period (Years),Coverage Type,Liability Limits,Collision Coverage,Comprehensive Coverage,Collision Deductible,Comprehensive Deductible,Optional Coverages Included,Telematics Discount Available,Base Premium (Annual),Discounts Available,Telematics Program Name,Policy Term Length (Months),Cancellation Fee,Payment Options,Customer Rating (out of 5),Mobile App Available,24/7 Support,Avg Claims Process Time (days)
POL-1020,Geico,SafeDriver Advantage,24,4,7,Rideshare,"NY, MI, IL",True,1,0,Full Coverage,100/300K,True,False,500,500,"Gap Insurance, Rental Reimbursement",False,1664,Low Mileage,DriveSafe,6,80,Monthly,3.5,True,True,5
POL-1021,State Farm,Elite Coverage,19,2,5,Business,"MI, GA, IL, CA, TX, NY",False,3,0,Liability Only,50/300K,True,False,250,1000,Gap Insurance,True,1044,"Safe Driver, Low Mileage",SmartDrive,12,76,Annual,4.6,False,False,3
POL-1022,Progressive,Flex Auto Secure,22,4,13,Rideshare,"GA, TX, CA, FL, PA, NY",False,0,0,Liability Only,100/300K,True,False,1000,250,Rental Reimbursement,False,1069,"Low Mileage, Vehicle Safety Features",None,6,60,Quarterly,3.8,False,True,4
POL-1023,Allstate,Total Protection,25,3,17,Rideshare,"GA, TX, PA",False,2,0,Full Coverage,100/50K,False,False,250,250,"Gap Insurance, Rental Reimbursement",False,605,"Good Student, Multi-Policy",TrackMyRide,12,89,Quarterly,3.2,True,True,6
POL-1024,Liberty Mutual,SafeDriver Advantage,24,1,12,Personal,"TX, NY, GA, PA, NC, IL",False,3,3,Full Coverage,25/100K,True,False,250,1000,Roadside Assistance,False,1349,"Low Mileage, Good Student, Safe Driver",TrackMyRide,12,75,Annual,5.0,False,True,9
POL-1025,Liberty Mutual,Total Protection,23,3,17,Business,"FL, MI, OH, TX, NC",True,2,5,Full Coverage,100/100K,False,True,500,250,Gap Insurance,False,705,"Safe Driver, Vehicle Safety Features, Low Mileage, Good Student",None,6,9,Quarterly,4.6,False,False,8
POL-1026,Farmers,SafeDriver Advantage,23,5,17,Business,"NC, CA, TX, GA, PA, NY",True,0,3,Liability Only,100/300K,True,False,250,1000,"Roadside Assistance, Gap Insurance",False,614,"Good Student, Low Mileage, Multi-Policy",SmartDrive,6,67,Quarterly,4.1,True,True,4
POL-1027,Geico,Elite Coverage,24,5,12,Business,"FL, GA, IL, MI",False,0,3,Full Coverage,100/300K,True,True,500,500,"Gap Insurance, Rental Reimbursement",False,1435,"Multi-Policy, Vehicle Safety Features, Low Mileage",DriveSafe,6,48,Annual,3.7,False,False,2
POL-1028,USAA,Flex Auto Secure,24,3,5,Rideshare,"MI, GA, IL",True,2,1,Liability Only,100/100K,True,True,1000,1000,,False,1402,Low Mileage,TrackMyRide,6,11,Quarterly,3.7,False,True,5
POL-1029,State Farm,Elite Coverage,23,5,13,Personal,"GA, IL, PA, OH, CA",False,0,1,Liability Only,100/300K,False,False,250,500,,False,1598,Vehicle Safety Features,TrackMyRide,12,74,Quarterly,4.6,False,True,5
POL-1030,Progressive,SafeDriver Advantage,23,5,12,Rideshare,"GA, IL, OH",True,1,0,Liability Only,50/100K,True,True,250,1000,Rental Reimbursement,False,1259,"Low Mileage, Multi-Policy, Vehicle Safety Features, Safe Driver",None,12,35,Monthly,4.4,True,False,9
POL-1031,State Farm,Basic Liability Plan,19,3,16,Personal,"IL, FL, TX, OH, NC, CA",True,0,0,Full Coverage,25/50K,True,True,1000,250,Roadside Assistance,False,802,Good Student,SmartDrive,6,69,Quarterly,4.6,True,True,4
POL-1032,Geico,Basic Liability Plan,21,5,15,Personal,"IL, CA, NY, PA",False,0,5,Liability Only,50/100K,False,True,500,1000,Gap Insurance,True,1989,"Vehicle Safety Features, Safe Driver, Low Mileage",None,12,54,Annual,3.2,False,True,3
POL-1033,Allstate,Elite Coverage,20,1,9,Business,"OH, NC, IL, FL, GA",False,0,5,Liability Only,100/300K,True,False,500,250,"Rental Reimbursement, Gap Insurance, Roadside Assistance",False,1994,Good Student,None,12,85,Quarterly,3.7,True,False,3
POL-1034,Geico,SafeDriver Advantage,19,4,8,Rideshare,"NY, NC, CA, IL, OH",False,0,3,Full Coverage,100/100K,True,False,1000,500,"Roadside Assistance, Gap Insurance",True,1844,"Multi-Policy, Safe Driver, Low Mileage, Good Student",DriveSafe,12,73,Monthly,4.6,True,False,2
POL-1035,State Farm,Basic Liability Plan,22,3,16,Personal,"NY, OH, TX, GA",True,0,5,Liability Only,50/100K,False,False,250,500,"Gap Insurance, Rental Reimbursement",True,607,"Multi-Policy, Safe Driver",DriveSafe,12,56,Annual,3.8,False,False,6
POL-1036,State Farm,Elite Coverage,19,3,18,Personal,"MI, GA, IL, CA, TX",False,0,0,Liability Only,50/50K,True,False,500,500,,True,1518,"Multi-Policy, Low Mileage, Vehicle Safety Features, Safe Driver",TrackMyRide,6,50,Annual,3.1,True,False,3
POL-1037,USAA,Basic Liability Plan,24,5,17,Rideshare,"IL, TX, OH, CA, NY, NC",False,2,0,Full Coverage,25/50K,False,False,1000,250,"Rental Reimbursement, Gap Insurance, Roadside Assistance",False,844,Low Mileage,DriveSafe,6,99,Quarterly,3.7,True,True,3
POL-1038,State Farm,Basic Liability Plan,21,2,9,Rideshare,"NY, GA, NC",False,2,5,Full Coverage,25/100K,True,False,500,1000,"Rental Reimbursement, Roadside Assistance",False,1539,Good Student,None,12,4,Monthly,3.7,False,True,3
POL-1039,Liberty Mutual,Elite Coverage,24,4,6,Business,"PA, GA, NY, CA",False,0,2,Liability Only,100/300K,True,True,250,1000,"Rental Reimbursement, Roadside Assistance, Gap Insurance",False,1079,"Vehicle Safety Features, Good Student, Low Mileage, Safe Driver",TrackMyRide,6,42,Monthly,4.1,False,False,6
POL-1040,Farmers,Flex Auto Secure,20,3,7,Rideshare,"PA, IL, OH, TX",True,2,4,Full Coverage,100/100K,True,True,1000,1000,"Gap Insurance, Rental Reimbursement, Roadside Assistance",False,1132,"Multi-Policy, Good Student",None,6,28,Monthly,3.3,False,True,10
POL-1041,USAA,Elite Coverage,18,3,9,Rideshare,"NY, MI, NC, OH, PA, IL",True,3,0,Full Coverage,50/300K,True,False,1000,500,"Roadside Assistance, Gap Insurance, Rental Reimbursement",False,897,"Low Mileage, Vehicle Safety Features, Multi-Policy",TrackMyRide,12,64,Annual,3.8,True,True,4
POL-1042,USAA,Basic Liability Plan,18,4,16,Rideshare,"NC, TX, IL",True,1,2,Full Coverage,100/50K,False,True,250,500,"Roadside Assistance, Rental Reimbursement",True,1311,"Multi-Policy, Vehicle Safety Features, Safe Driver",TrackMyRide,6,3,Quarterly,4.9,False,True,4
POL-1043,Geico,Basic Liability Plan,25,2,20,Business,"TX, CA, IL",True,1,4,Full Coverage,25/100K,True,False,250,250,Rental Reimbursement,False,628,Vehicle Safety Features,DriveSafe,6,91,Monthly,3.6,True,False,5
POL-1044,Liberty Mutual,Total Protection,20,1,16,Personal,"OH, GA, CA",False,2,2,Liability Only,50/50K,False,True,1000,1000,,False,773,Good Student,TrackMyRide,6,99,Annual,3.9,False,True,4
POL-1045,Geico,Flex Auto Secure,25,1,14,Personal,"FL, CA, PA",False,3,4,Full Coverage,50/50K,True,False,500,250,"Rental Reimbursement, Roadside Assistance",False,1394,"Vehicle Safety Features, Low Mileage, Multi-Policy, Safe Driver",None,12,47,Annual,3.5,True,False,3
POL-1046,Progressive,Elite Coverage,20,5,14,Business,"TX, PA, IL",False,3,4,Full Coverage,25/300K,False,False,500,250,"Gap Insurance, Rental Reimbursement",False,1809,Safe Driver,None,12,65,Annual,4.4,True,True,9
POL-1047,Geico,Comprehensive Plus,19,2,16,Business,"MI, CA, NY, PA, FL, GA",False,3,0,Liability Only,100/100K,False,False,1000,500,Roadside Assistance,True,881,"Low Mileage, Vehicle Safety Features, Good Student, Safe Driver",TrackMyRide,12,90,Quarterly,3.4,False,False,5
POL-1048,Geico,Comprehensive Plus,19,4,10,Rideshare,"TX, PA, NC, GA, CA, IL",False,2,1,Liability Only,50/300K,True,True,250,250,Rental Reimbursement,True,1239,"Vehicle Safety Features, Multi-Policy, Good Student",DriveSafe,6,39,Quarterly,5.0,False,False,8
POL-1049,USAA,Elite Coverage,19,2,15,Rideshare,"GA, MI, PA",True,1,1,Full Coverage,100/50K,True,True,500,250,Rental Reimbursement,True,1208,"Safe Driver, Good Student, Low Mileage",TrackMyRide,6,80,Quarterly,4.2,True,True,4
